id,Title,Poet,text,ctext,Poem Link,our_summary,prompt_summary
0,"Dear John, Dear Coltrane by Michael S. Harper",Michael S. Harper,"'Dear John, Dear Coltrane' by Michael S. Harper is a powerful poem that speaks to the importance of John Coltrane's music. In the first lines of this poem, the speaker begins by alluding to an act of violence perpetrated on a Black man in the American south. He immediately describes Coltrane growing up in the same area and leaving for Philadelphia to play music. As the poem progresses, the speaker introduces the reader to Coltrane's creative expression, his struggle with drugs and alcohol, and later, the liver disease that resulted.","a love supreme, a love supreme
a love supreme, a love supreme

Sex fingers toes
in the marketplace
near your father's church
in Hamlet, North Carolina—
witness to this love
in this calm fallow
of these minds,
there is no substitute for pain:
genitals gone or going,
seed burned out,
you tuck the roots in the earth,
turn back, and move
by river through the swamps,
singing: a love supreme, a love supreme;
what does it all mean?
Loss, so great each black
woman expects your failure
in mute change, the seed gone.
You plod up into the electric city—
your song now crystal and
the blues. You pick up the horn
with some will and blow
into the freezing night:
a love supreme, a love supreme—

Dawn comes and you cook
up the thick sin 'tween
impotence and death, fuel
the tenor sax cannibal
heart, genitals, and sweat
that makes you clean—
a love supreme, a love supreme—

Why you so black?
cause I am
why you so funky?
cause I am
why you so black?
cause I am
why you so sweet?
cause I am
why you so black?
cause I am
a love supreme, a love supreme:

So sick
you couldn't play Naima,
so flat we ached
for song you'd concealed
with your own blood,
your diseased liver gave
out its purity,
the inflated heart
pumps out, the tenor kiss,
tenor love:
a love supreme, a love supreme—
a love supreme, a love supreme—",https://www.poetryfoundation.org/poems/42827/dear-john-dear-coltrane,"The poem explores themes of love, loss, pain, and identity through the lens of a musician's journey. It highlights the struggles faced, both internally and externally, as the protagonist navigates societal expectations and personal challenges. The repeated refrain ""a love supreme"" represents a deep, profound love that transcends all obstacles.","A young musician with a guitar slung over their shoulder walks alone on a dimly lit city street at twilight, their expression a mix of introspection and determination. They pause to look up at the sky, the moon partially obscured by passing clouds, as they strum a melancholic melody on their instrument. The scene transitions to a cozy café, where they sit on a stool, their fingers trembling with emotion as they compose a heartfelt song on a piano. The camera captures their tear-filled eyes as they reflect on memories, their surroundings softly illuminated by warm, ambient lighting. Finally, the scene shifts to a vibrant music stage, where they perform passionately for an audience, their voice soaring with hope and resilience, the words ""a love supreme"" glowing in golden letters behind them, symbolizing the profound love that guides them through their journey."
1,Parrot by Stevie Smith,Stevie Smith,"‘Parrot‘ depicts the declining health of a wondrously beautiful bird in north London, where it appears to have been taken against its will. The poem begins by describing the unwell bird and its view over the houses near Noel Park in north London. The creature’s ill health is emphasized as early as the poem’s opening line. As the poem continues, Smith creates a sense of dislocation by contrasting the bird’s current surroundings with the tropical environment it came from. In the final stanza, the parrot appears close to death, and Smith appears to hope for its swift arrival so that the bird may be free from its suffering.","The old sick green parrot
High in a dingy cage
Sick with malevolent rage
Beadily glutted his furious eye
On the old dark
Chimneys of Noel Park
Far from his jungle green
Over the seas he came
To the yellow skies, to the dripping rain,
To the night of his despair.
And the pavements of his street
Are shining beneath the lamp
With a beauty that’s not for one
Born under a tropic sun.
He has croup. His feathered chest
Knows no minute of rest.
High on his perch he sits
And coughs and spits,
Waiting for death to come.
Pray heaven it won’t be long.",https://revise.wales/pastPapers/A-level/EnglishLit/unit3/s17-2727-01.pdf,"This old parrot, sick and full of rage, longs for his jungle home but suffers in his new, urban surroundings. He is plagued by illness and waits for death to relieve him of his misery.","An elderly parrot with vibrant green and blue feathers sits perched on a windowsill in a dimly lit urban apartment, its once-lively eyes now dull and sunken, reflecting its illness. The bird's environment is starkly contrasted to its natural habitat, as the view outside the window reveals towering buildings and distant city lights, a far cry from the lush jungle it once called home. The parrot's posture is hunched, its movements slow and labored, as it gazes longingly at the view. Its beak opens and closes weakly, as though yearning for a sound it once knew. A faint ray of sunlight streams through the window, casting a warm glow on the bird, symbolizing hope amidst its struggles."
2,Dust of Snow by Robert Frost,Robert Frost,"The simplicity, in the end, is the key element of the work as nature is shown as magnificent enough to bring a person into a pleasant mentality. It grounds the narrator in a satisfying place, like a “tree,” and this uncomplicated action is mirrored in the uncomplicated wording, techniques, and structure of ‘Dust of Snow.’ Together, these elements solidify the theme of ‘Dust of Snow’: that nature and simplicity, if appreciated and looked into, can be grounding factors in a time of stress.","The way a crow
Shook down on me
The dust of snow
From a hemlock tree

Has given my heart
A change of mood
And saved some part
Of a day I had rued.",https://www.poetryfoundation.org/poems/44262/dust-of-snow,The sight of a crow shaking snow from a tree transforms the poet's mood and saves their day.,"A solitary crow perches on a snow-dusted tree branch under a cloudy, overcast sky. The bird shakes its wings, dislodging small handfuls of snow from the branch, creating a delicate cascade of white flakes that fall softly to the ground. The camera pans to a nearby poet, a young woman bundled in a thick wool coat and scarf, sitting on a wooden bench. She looks up, her expression initially gloomy as she gazes at the gray surroundings, clutching a leather-bound notebook in her hands. As she sees the crow's action, a subtle smile begins to form on her face, her posture relaxing, and her eyes lighting up with inspiration."
3,Suburban Sonnet by Gwen Harwood,Gwen Harwood,"'Suburban Sonnet' by Gwen Harwood is a poem about the difficulties of motherhood and the mental and emotional struggles of a housewife. In the first lines of 'Suburban Sonnet,' the speaker describes a housewife who spends her time practicing a fugue, a specific type of musical composition. She knows that it doesn't matter to anyone whether or not she plays well, but she continues to. There are two children in the room, screaming at one another. This forces her to stop playing until she can quiet them down. Suddenly, another one of her duties as a housewife calls: a pot on the stove is boiling over. She suddenly feels completely overwhelmed, sick, and in pain. The poet compares the woman's happiness to the soap running down the drain. This leads to another personal music-related image. Her children are looking at a dead mouse in a trap, feeling scared despite it being dead. She disposes of the creature with an article featuring bread recipes.","She practises a fugue, though it can matter
to no one now if she plays well or not.
Beside her on the floor two children chatter,
then scream and fight. She hushes them. A pot
boils over. As she rushes to the stove
too late, a wave of nausea overpowers
subject and counter-subject. Zest and love
drain out with soapy water as she scours
the crusted milk. Her veins ache. Once she played
for Rubinstein, who yawned. The children caper
round a sprung mousetrap where a mouse lies dead.
When the soft corpse won't move they seem afraid.
She comforts them; and wraps it in a paper
featuring: Tasty dishes from stale bread.",https://genius.com/Gwen-harwood-suburban-sonnet-annotated,"A mother practices music, but her children interrupt. Chaos ensues as she struggles with household chores. She reminisces about playing for a famous pianist, while tending to a dead mouse.","A mother sits at a grand piano in a cozy living room, wearing a simple blouse and jeans, her hands poised over the keys as she practices a musical piece with dedication and focus. Her children, two mischievous kids holding crayons and books, burst into the room, startling her as they accidentally knock over a vase on the nearby table. The mother pauses, sighing, as she juggles her music sheet with cleaning up the mess while trying to corral her children. Her gaze drifts momentarily to a framed photo of her playing for a famous pianist on a grand stage, her expression nostalgic before she gently picks up a small, lifeless mouse from the floor and places it outside with a somber expression. The room reflects the messy chaos, with crayon drawings on the walls and scattered toys, but the mother, despite her struggles, maintains a warm smile as she finds a way to balance her duties and memories amidst the commotion."
4,Unending Love by Rabindranath Tagore,Rabindranath Tagore,"'Unending Love' by Rabindranath Tagore is a heartfelt poem about a speaker's devotional love for his beloved (the creator or his lady love). Tagore's poetic persona describes how his love merges with all the loves, past and forever. This piece of Rabindranath Tagore is another song in which, it seems, he speaks of his love for the creator. It can also be true that this poem can be written for a lady whom the speaker loves the most. His words reflect his deeper emotions and the devotional aspect of love between two souls. Tagore's persona gifts her with a “necklace of songs” which she wears in pride. He compares her to the polestar that pierces all the darkness of pessimism and enlightens him. Their love is old, yet it renews forever. In her, she has found universality and their memories of togetherness will last forever.","I seem to have loved you in numberless forms, numberless times…
In life after life, in age after age, forever.
My spellbound heart has made and remade the necklace of songs,
That you take as a gift, wear round your neck in your many forms,
In life after life, in age after age, forever.

Whenever I hear old chronicles of love, its age-old pain,
Its ancient tale of being apart or together.
As I stare on and on into the past, in the end you emerge,
Clad in the light of a pole-star piercing the darkness of time:
You become an image of what is remembered forever.

You and I have floated here on the stream that brings from the fount.
At the heart of time, love of one for another.
We have played alongside millions of lovers, shared in the same
Shy sweetness of meeting, the same distressful tears of farewell-
Old love but in shapes that renew and renew forever.

Today it is heaped at your feet, it has found its end in you
The love of all man’s days both past and forever:
Universal joy, universal sorrow, universal life.
The memories of all loves merging with this one love of ours –
And the songs of every poet past and forever.",https://allpoetry.com/Unending-Love,"The speaker expresses their eternal love for someone in various forms across lifetimes, and how their heart has created a necklace of songs for them. They reflect on the pain and longing of love and how, in the end, the person emerges as a timeless image. They have shared a deep connection with this person throughout different eras, and their love is a culmination of all the love that has ever existed. It is now offered to the person, encompassing all the joys, sorrows, and memories of past loves.","A serene figure stands on a cliff overlooking a vast, star-filled sky, their silhouette illuminated by a soft golden glow from the setting sun. They hold a delicate, intricately crafted necklace made of glowing, ethereal orbs, each orb representing a moment from a lifetime of shared love and connection. The figure’s eyes glisten with emotion as they reflect on the memories of past eras— medieval castles, bustling city streets, and tranquil gardens—where their love has transcended time. The necklace radiates warmth and light as it hovers above their palm, symbolizing the accumulation of every joy, sorrow, and memory. The scene transitions to the eternal image of the beloved, a timeless figure standing amidst swirling golden light, their expression serene and radiant, embodying the culmination of all love. The figure places the necklace around their neck, the orbs settling into a glowing, harmonious pattern that reflects the boundless depth of their love."
5,Crocus by Alfred Kreymborg,Alfred Kreymborg,"'Crocus' by Alfred Kreymborg describes the vast darkness of winter and the immensely powerful “spark” which leads the world into spring. The poem begins with the speaker stating that now is the time in which spring and summer are so far in the past that the trees have forgotten they ever had left. The narrator is overwhelmed by the dark cold of the season and wants to know whose fault it is that the world is the way it is. He continues on to speak about the eventual “spark” that will come and set the Earth turning once more. It will set spring in motion, lead the crocuses to bloom, and overflow the rivers with water.","When trees have lost remembrance of the leaves
that spring bequeaths to summer, autumn weaves
and loosens mournfully—this dirge, to whom
does it belong—who treads the hidden loom?

When peaks are overwhelmed with snow and ice,
and clouds with crepe bedeck and shroud the skies—
nor any sun or moon or star, it seems,
can wedge a path of light through such black dreams—

All motion cold, and dead all traces thereof:
What sudden shock below, or spark above,
starts torrents raging down till rivers surge—
that aid the first small crocus to emerge?

The earth will turn and spin and fairly soar,
that couldn't move a tortoise-foot before—
and planets permeate the atmosphere
till misery depart and mystery clear!—

And yet, so insignificant a hearse?—
who gave it the endurance so to brave
such elements?—shove winter down a grave?—
and then lead on again the universe?",https://poets.org/poem/crocus,"In the changing seasons, a dirge sings for the forgotten leaves. Nature's power defies death and darkness.","A serene forest scene transitions across the changing seasons, beginning with lush greenery under a golden sunrise, leaves gently swaying in springtime breeze. The next frame shifts to vibrant autumn hues, with leaves in shades of crimson, gold, and amber falling amidst a soft twilight. As the seasons progress, the environment transforms into the starkness of winter, with bare trees reaching toward a moonlit sky. A gentle gust of wind stirs the air, and a glowing ember of light ignites amidst the snow-covered ground, symbolizing nature’s resilience and defiance against the cold."
6,Lonely Hearts by Wendy Cope,Wendy Cope,"'Lonely Hearts' by Wendy Cope is an ironic poem that reveals how a speaker is desperately searching for a life partner in a newspaper column. This poem begins with a speaker asking others whether they can find her a perfect partner. Her simple wish deals with only finding a partner with whom she can start a relationship. The speaker is middle-aged and has a son. She is inexperienced, cold, and fascinated by a new beginning. Her partner can be a biker or a gay vegetarian with few friends. She is also a lonely soul and takes interest in music and Shakespeare's poetry. The partner can be an executive who is searching for a bisexual woman with arty looks. Whatsoever, all she wants is a partner who resides in North London.","Can someone make my simple wish come true?
Male biker seeks female for touring fun.
Do you live in North London? Is it you?
Gay vegetarian whose friends are few,
I'm into music, Shakespeare and the sun.
Can someone make my simple wish come true?
Executive in search of something new—
Perhaps bisexual woman, arty, young.
Do you live in North London? Is it you?
Successful, straight and solvent? I am too—
Attractive Jewish lady with a son.
Can someone make my simple wish come true?
I'm Libran, inexperienced and blue—
Need slim, non-smoker, under twenty-one.
Do you live in North London? Is it you?
Please write (with photo) to Box 152.
Who knows where it may lead once we've begun?
Can someone make my simple wish come true?
Do you live in North London? Is it you?",https://writersalmanac.publicradio.org/index.php%3Fdate=2001%252F12%252F06.html,Various individuals from different backgrounds and orientations seek companionship in North London.,"A vibrant scene unfolds in a bustling café in North London, where a diverse group of individuals from different backgrounds gathers. A young woman with a colorful scarf sits at a table, sipping coffee while flipping through a book, her warm smile suggesting she is looking for someone to connect with. Nearby, a man with a backpack, wearing casual attire, strikes up a conversation with a woman in a professional outfit, both engaging in animated discussion. The atmosphere is lively, with the café’s warm lighting, wooden furniture, and eclectic decor creating a cozy and inviting environment. Other customers, each with their unique appearance and attire, interact casually, creating an inclusive and welcoming ambiance. The scene captures the natural flow of people seeking companionship and connection in a multicultural setting."
7,Northern Pike by James Wright,James Wright,"'Northern Pike' by James Wright is a peaceful poem about a fishing trip and a speaker's appreciation for nature and life. The poem describes the images he saw on a fishing trip and his experience with the fish itself. He notes the beautiful, life-affirming sights and sounds in his vicinity and how killing and eating the fish made him feel. The poem ends on an optimistic note, suggesting that happiness can be found through simple pleasures in the natural world.","All right. Try this,
Then. Every body
I know and care for,
And every body
Else is going
To die in a loneliness
I can't imagine and a pain
I don't know. We had
To go on living. We
Untangled the net, we slit
The body of this fish
Open from the hinge of the tail
To a place beneath the chin
I wish I could sing of.
I would just as soon we let
The living go on living.
An old poet whom we believe in
Said the same thing, and so
We paused among the dark cattails and prayed
For the muskrats,
For the ripples below their tails,
For the little movements that we knew the crawdads were making

under water,
For the right-hand wrist of my cousin who is a policeman.
We prayed for the game warden's blindness.
We prayed for the road home.
We ate the fish.
There must be something very beautiful in my body,
I am so happy.",https://poets.org/poem/northern-pike,"The speaker contemplates the inevitability of death and the pain it brings, but also the necessity of continuing to live. In an act of survival, they catch and prepare a fish, finding beauty in its body and happiness in their own existence.","A person stands by a serene lake at dusk, their expression contemplative as they gaze into the water. The soft light of the setting sun reflects off the calm surface, creating a tranquil and introspective atmosphere. As a fish jumps from the water, they watch with a mix of curiosity and determination. They then wade into the shallow water, carefully catching the fish with skillful hands, their movements deliberate and practiced. On a nearby rock, they clean and prepare the fish with steady hands, admiring its intricate scales and the natural beauty within its form. Their expression evolves from solemn to one of quiet satisfaction as they look up at the horizon, finding solace and joy in the simple act of survival and the beauty of life itself."
8,Elegy for Bruce Lee by W. Todd Kaneko,W. Todd Kaneko,"'Elegy for Bruce Lee' by W. Todd Kaneko begins with the measured 'one-two, ch cha chá' that echoes as a beat throughout the poem. The rhythm is reflecting the steady pace of throwing punches, Kaneko reflecting Bruce Lee's fighting practice. Kaneko discusses his father in relation to Bruce Lee, using him as an example of how to fight, but also how to live life. When Kaneko's father dies, he remembers the feeling of grief, expressing it through the practice of fighting. The final lines reflect on this fusion of grief and fighting, drawing the two images together in a somber combination.","Somewhere in the dark sky is a beautiful fight,
one-two, cha cha chá—all our knuckles rapping

against the stars’ edges for the dancing master,
for a flying sidekick to our bodies’ centers.

My father called you Little Dragon Lee, told me
how you swiveled your hips across the floor—

three-four, cha cha chá—then you both wrote
love poems for a girl in your English class.

I practiced throwing roundhouse kicks as a boy,
feet aimed at my reflection in store windows,

at street signs, at parked cars, everything I knew
I could break. Now, my feet cannot leave

the ground, and I write love poems for the dead.
The last time I watched Enter the Dragon,

I imagined it was my father emerging victorious
from the hall of mirrors, my father hustling

on the dance floor, because the last time
I saw my father, he had been waiting for me

the whole day in the morgue. Hold me,
he said, and I did until his body stopped

acting like it was alive. There is no fight
where there is no spark, no wretched cock crow

in the dark, just this cha cha chá—grief is a fist
and a promise to hurt someone. Just give it

an inch between knuckle and breastbone.
It will punch through everyone.",https://www.poetryfoundation.org/poetrymagazine/poems/153505/elegy-for-bruce-lee,"The poem tells the story of a father and son's connection through martial arts and poetry, and the son's grief after his father's death.","A father and son stand on a serene dojang floor, wearing traditional martial arts uniforms, their movements synchronized in a graceful sparring session. The father, with a kind yet firm demeanor, guides the son through intricate techniques, emphasizing precision and discipline. The scene shifts to the father reading poetry aloud to the son, the boy sitting attentively, mesmerized by the words. Years later, the setting transitions to the son, now older, standing alone in the same dojang, his movements slow and contemplative, as he recites the same poem, his emotion-filled voice reflecting a deep sense of loss and nostalgia."
9,Babies by Alice Fulton,Alice Fulton,"'Babies' by Alice Fulton is a powerful poem filled with images that describe what it's like to age from childhood into adulthood. In the first lines of this poem, the speaker describes what a child is like when they're born. They are lulled by their mother's soothing voice into thinking that everything is going to be all right. Life feels simple when one is young. But, as a child ages, they learn that not all lies or mistakes can be erased. The poet uses an example of a scorned lover, called by the wrong name while in bed, whose affections cannot be regained. One simple mistake can ruin someone's chances at happiness. The poem concludes with a very effective image comparing life, or at least some parts of it, to a parachuter jumping out of a plane. One has a single chance to get things right.","born gorgeous with nerves, with brains
the pink of silver polish or
jellyfish wafting ornately
through the body below.
An invertebrate cooing
on the mother
tongue shushes and lulls them into thinking
all is well. As they grow they learn

salvage: tear-out
guides to happiness say apologies can outshine
lies, guilt be lickspittled from their lives, bad
glycerined to good. Like a child’s first school pencils
in their formal brilliance
and sharp new smells, they lie

as lovers. Maybe one cries
the wrong name and the night skinning
them pleasantly alive
leaps away in shards.
Then it’s time for restitution:
a tin of homebaked,
holding gingham safety, fetal
as the light through mason jars of beets and brine,
or jewelry, clasping and unclasping
aisles of fluorescence from great department stores,
a distracting plenitude, and tempting.

Still, the beloved may stay bitter as an ear
the tongue pressed
into, unwanted.
And the word end: spiney, finally-formed,
indents them and is
understood. They learn

the hard way as hurts
accrue, and the brain is cratered as a rock
by rain that fell ages past
on unprotected mud. An insult keeps
despite apologies. When it vaporizes at last,
its space fills with grains that harden
to a fossil shaped exactly
like the insult.
They grow up when they know that

sometimes
only a gesture responsive as a heart-
shaped parachute above a jump
a life depends on
to be perfect
the first time will ever do",https://poetrying.wordpress.com/2010/04/10/babies-alice-fulton/,"The poem explores the journey of growth and learning through experiences and relationships. It touches on the idea that appearances can be deceiving, apologizing may not always erase guilt, and sometimes hurtful words leave a lasting impact. The speaker emphasizes the importance of genuine gestures and the realization that perfection is not always attainable. Ultimately, growth comes from understanding and accepting life's imperfections.","A young woman stands in a serene meadow under a golden sunset, her expression thoughtful as she gazes at a notebook in her hands, its pages filled with handwritten poetry. Surrounding her, wildflowers sway gently in the breeze, and a small stream flows nearby, reflecting the warm hues of the sky. As the camera pans closer, her face reveals a mix of introspection and determination. Moments later, she is seen smiling warmly while sharing a heartfelt conversation with a friend, seated on a wooden bench under the shade of a large oak tree. The scene transitions to her standing in a cozy library, surrounded by books, her hand resting on a quote inscribed on a nearby wall, ""Perfection is not attainable, but it can be a journey."" The final shot captures her walking along a winding path, the sunlight casting long shadows behind her, symbolizing her acceptance and growth amid life's imperfections."
